IncomeBucket,Year-1,GII,Year,Country,Code,Country-1,Country-2,Region,Population,Area,Pop. Density,Coastline,Net migration,Infant mortality,GDP,Literacy,Phones,Arable,Crops,Other,Climate,Birthrate,Deathrate,Agriculture,Industry,Service
L,1995,,1995,Burundi,BDI,Burundi,Burundi,SUB-SAHARAN AFRICA,8090068,27830,290.7,0,-0.06,69.29,600,51.6,3.42,35.05,14.02,50.93,2,42.22,13.46,0.463,0.203,0.334
L,1995,0.66,1995,Cambodia,KHM,Cambodia,Cambodia,ASIA (EX. NEAR EAST),13881427,181040,76.68,0.24,0,71.48,1900,69.4,2.62,20.96,0.61,78.43,2,26.9,9.06,0.35,0.3,0.35
L,1995,0.703,1995,Cameroon,CMR,Cameroon,Cameroon,SUB-SAHARAN AFRICA,17340702,475440,36.47,0.08,0,68.26,1800,79,5.73,12.81,2.58,84.61,1.5,33.89,13.47,0.448,0.17,0.382
H,1995,0.184,1995,Canada,CAN,Canada,Canada,NORTHERN AMERICA,33098932,9984670,3.31,2.02,5.96,4.75,29800,97,552.16,4.96,0.02,95.02,,10.78,7.8,0.022,0.294,0.684
L,1995,0.74,1995,Central African Republic,CAF,Central African Republic,Central African Republic,SUB-SAHARAN AFRICA,4303356,622984,6.91,0,0,91,1100,51,2.32,3.1,0.14,96.76,2,33.91,18.65,0.55,0.2,0.25
L,1995,,1995,Chad,TCD,Chad,Chad,SUB-SAHARAN AFRICA,9944201,1284000,7.74,0,-0.11,93.82,1200,47.5,1.31,2.86,0.02,97.12,2,45.73,16.38,0.335,0.259,0.406
UM,1995,0.476,1995,Chile,CHL,Chile,Chile,LATIN AMER. & CARIB,16134219,756950,21.31,0.85,0,8.8,9900,96.2,212.96,2.65,0.42,96.93,3,15.23,5.81,0.06,0.493,0.447
L,1995,,1995,China,CHN,China,China,ASIA (EX. NEAR EAST),1313973713,9596960,136.92,0.15,-0.4,24.18,5000,90.9,266.7,15.4,1.25,83.35,1.5,13.25,6.97,0.125,0.473,0.403
LM,1995,0.538,1995,Colombia,COL,Colombia,Colombia,LATIN AMER. & CARIB,43593035,1138910,38.28,0.28,-0.31,20.97,6300,92.5,176.15,2.42,1.67,95.91,2,20.48,5.58,0.125,0.342,0.533
L,1995,0.709,1995,Côte d'Ivoire,CIV,Côte d'Ivoire,Côte d'Ivoire,SUB-SAHARAN AFRICA,17654843,322460,54.75,0.16,-0.07,90.83,1400,50.9,14.61,9.75,13.84,76.41,2,35.11,14.84,0.279,0.171,0.55
UM,1995,0.28,1995,Croatia,HRV,Croatia,Croatia,EASTERN EUROPE,4494749,56542,79.49,10.32,1.58,6.84,10600,98.5,420.38,26.09,2.27,71.65,,9.61,11.48,0.07,0.308,0.622
LM,1995,0.428,1995,Cuba,CUB,Cuba,Cuba,LATIN AMER. & CARIB,11382820,110860,102.68,3.37,-1.58,6.33,2900,97,74.67,33.05,7.6,59.35,2,11.89,7.22,0.055,0.261,0.684
H,1995,0.347,1995,Cyprus,CYP,Cyprus,Cyprus,NEAR EAST,784301,9250,84.79,7.01,0.43,7.18,19200,97.6,,7.79,4.44,87.77,3,12.56,7.68,0.037,0.198,0.765
UM,1995,0.252,1995,Czech Republic,CZE,Czech Republic,Czech Republic,EASTERN EUROPE,10235455,78866,129.78,0,0.97,3.93,15700,99.9,314.33,39.8,3.05,57.15,3,9.02,10.59,0.034,0.393,0.573
H,1995,0.102,1995,Denmark,DNK,Denmark,Denmark,WESTERN EUROPE,5450661,43094,126.48,16.97,2.48,4.56,31100,100,614.6,54.02,0.19,45.79,3,11.13,10.36,0.018,0.246,0.735
LM,1995,0.571,1995,Dominican Republic,DOM,Dominican Republic,Dominican Republic,LATIN AMER. & CARIB,9183984,48730,188.47,2.64,-3.22,32.38,6000,84.7,97.4,22.65,10.33,67.02,2,23.22,5.73,0.112,0.306,0.582
LM,1995,0.589,1995,Ecuador,ECU,Ecuador,Ecuador,LATIN AMER. & CARIB,13547510,283560,47.78,0.79,-8.58,23.66,3300,92.5,125.6,5.85,4.93,89.22,2,22.29,4.23,0.07,0.312,0.618
LM,1995,0.386,1995,Estonia,EST,Estonia,Estonia,BALTICS,1324333,45226,29.28,8.39,-3.16,7.87,12300,99.8,333.75,16.04,0.45,83.51,3,10.04,13.25,0.04,0.294,0.666
L,1995,,1995,Ethiopia,ETH,Ethiopia,Ethiopia,SUB-SAHARAN AFRICA,74777981,1127127,66.34,0,0,95.32,700,42.7,8.16,10.71,0.75,88.54,2,37.98,14.86,0.475,0.099,0.426
LM,1995,0.499,1995,Fiji,FJI,Fiji,Fiji,OCEANIA,905949,18270,49.59,6.18,-3.14,12.62,5800,93.7,112.59,10.95,4.65,84.4,2,22.55,5.65,0.089,0.135,0.776
H,1995,0.103,1995,Finland,FIN,Finland,Finland,WESTERN EUROPE,5231372,338145,15.47,0.37,0.95,3.57,27400,100,405.25,7.19,0.03,92.78,3,10.45,9.86,0.028,0.295,0.676
H,1995,0.22,1995,France,FRA,France,France,WESTERN EUROPE,60876136,547030,111.28,0.63,0.66,4.26,27600,99,586.44,33.53,2.07,64.4,4,11.99,9.14,0.022,0.214,0.764
UM,1995,0.606,1995,Gabon,GAB,Gabon,Gabon,SUB-SAHARAN AFRICA,1424906,267667,5.32,0.33,0,53.64,5500,63.2,27.44,1.26,0.66,98.08,2,36.16,12.25,0.061,0.592,0.348
L,1995,0.426,1995,Georgia,GEO,Georgia,Georgia,C.W. OF IND. STATES,4661473,69700,66.88,0.44,-4.7,18.59,2500,99,146.56,11.44,3.86,84.7,3,10.41,9.23,0.172,0.275,0.553
H,1995,0.156,1995,Germany,DEU,Germany,Germany,WESTERN EUROPE,82422299,357021,230.86,0.67,2.18,4.16,27600,99,667.85,33.85,0.59,65.56,3,8.25,10.62,0.009,0.296,0.695
L,1995,0.626,1995,Ghana,GHA,Ghana,Ghana,SUB-SAHARAN AFRICA,22409572,239460,93.58,0.23,-0.64,51.43,2200,74.8,14.35,16.26,9.67,74.07,2,30.52,9.72,0.366,0.246,0.387
UM,1995,0.283,1995,Greece,GRC,Greece,Greece,WESTERN EUROPE,10688058,131940,81.01,10.37,2.35,5.53,20000,97.5,589.72,21.1,8.78,70.12,3,9.68,10.24,0.054,0.213,0.733
LM,1995,0.596,1995,Guatemala,GTM,Guatemala,Guatemala,LATIN AMER. & CARIB,12293545,108890,112.9,0.37,-1.67,35.93,4100,70.6,92.09,12.54,5.03,82.43,2,29.88,5.2,0.227,0.188,0.585
L,1995,,1995,Guyana,GUY,Guyana,Guyana,LATIN AMER. & CARIB,767245,214970,3.57,0.21,-2.07,33.26,4000,98.8,143.5,2.44,0.15,97.41,2,18.28,8.28,0.37,0.203,0.427
L,1995,,1995,Haiti,HTI,Haiti,Haiti,LATIN AMER. & CARIB,8308504,27750,299.41,6.38,-3.4,73.45,1600,52.9,16.85,28.3,11.61,60.09,2,36.44,12.17,0.28,0.2,0.52
L,1995,,1995,Honduras,HND,Honduras,Honduras,LATIN AMER. & CARIB,7326496,112090,65.36,0.73,-1.99,29.32,2600,76.2,67.48,9.55,3.22,87.23,2,28.24,5.28,0.139,0.312,0.549
UM,1995,0.322,1995,Hungary,HUN,Hungary,Hungary,EASTERN EUROPE,9981334,93030,107.29,0,0.86,8.57,13900,99.4,336.23,50.09,2.06,47.85,3,9.72,13.11,0.037,0.312,0.651
H,1995,0.184,1995,Iceland,ISL,Iceland,Iceland,WESTERN EUROPE,299388,103000,2.91,4.83,2.38,3.31,30900,99.9,647.65,0.07,0,99.93,3,13.64,6.72,0.086,0.15,0.765
L,1995,0.687,1995,India,IND,India,India,ASIA (EX. NEAR EAST),1095351995,3287590,333.18,0.21,-0.07,56.29,2900,59.5,45.42,54.4,2.74,42.86,2.5,22.01,8.18,0.186,0.276,0.538
LM,1995,0.578,1995,Indonesia,IDN,Indonesia,Indonesia,ASIA (EX. NEAR EAST),245452739,1919440,127.88,2.85,0,35.6,3200,87.9,52.03,11.32,7.23,81.45,2,20.34,6.25,0.134,0.458,0.408
LM,1995,0.658,1995,Iraq,IRQ,Iraq,Iraq,NEAR EAST,26783383,437072,61.28,0.01,0,50.25,1500,40.4,38.61,13.15,0.78,86.07,1,31.98,5.37,0.073,0.666,0.261
H,1995,0.202,1995,Ireland,IRL,Ireland,Ireland,WESTERN EUROPE,4062235,70280,57.8,2.06,4.99,5.39,29600,98,500.46,15.2,0.03,84.77,3,14.45,7.82,0.05,0.46,0.49
H,1995,0.244,1995,Israel,ISR,Israel,Israel,NEAR EAST,6352117,20770,305.83,1.31,0.68,7.03,19800,95.4,462.26,16.39,4.17,79.44,3,17.97,6.18,0.026,0.317,0.657
H,1995,0.198,1995,Italy,ITA,Italy,Italy,WESTERN EUROPE,58133509,301230,192.99,2.52,2.07,5.94,26700,98.6,430.89,27.79,9.53,62.68,,8.72,10.4,0.021,0.291,0.688
LM,1995,0.48,1995,Jamaica,JAM,Jamaica,Jamaica,LATIN AMER. & CARIB,2758124,10991,250.94,9.3,-4.92,12.36,3900,87.9,124,16.07,10.16,73.77,2,20.82,6.52,0.049,0.337,0.615
H,1995,0.159,1995,Japan,JPN,Japan,Japan,ASIA (EX. NEAR EAST),127463611,377835,337.35,7.87,0,3.26,28200,99,461.15,12.19,0.96,86.85,3,9.37,9.16,0.017,0.258,0.725
LM,1995,0.674,1995,Jordan,JOR,Jordan,Jordan,NEAR EAST,5906760,92300,64,0.03,6.59,17.35,4300,91.3,104.51,2.67,1.83,95.5,1,21.25,2.65,0.033,0.287,0.68
LM,1995,0.449,1995,Kazakhstan,KAZ,Kazakhstan,Kazakhstan,C.W. OF IND. STATES,15233244,2717300,5.61,0,-3.35,29.21,6300,98.4,164.11,7.98,0.05,91.97,4,16,9.42,0.067,0.386,0.547
L,1995,0.708,1995,Kenya,KEN,Kenya,Kenya,SUB-SAHARAN AFRICA,34707817,582650,59.57,0.09,-0.1,61.47,1000,85.1,8.12,8.08,0.98,90.94,1.5,39.72,14.02,0.163,0.188,0.651
H,1995,0.585,1995,Kuwait,KWT,Kuwait,Kuwait,NEAR EAST,2418393,17820,135.71,2.8,14.18,9.95,19000,83.5,211.01,0.73,0.11,99.16,1,21.94,2.41,0.004,0.479,0.516
LM,1995,0.41,1995,Latvia,LVA,Latvia,Latvia,BALTICS,2274735,64589,35.22,0.82,-2.23,9.55,10200,99.8,321.36,29.67,0.47,69.86,3,9.24,13.66,0.04,0.261,0.699
LM,1995,,1995,Lebanon,LBN,Lebanon,Lebanon,NEAR EAST,3874050,10400,372.5,2.16,0,24.52,4800,87.4,255.55,16.62,13.98,69.4,,18.52,6.21,0.12,0.21,0.67
LM,1995,0.577,1995,Lesotho,LSO,Lesotho,Lesotho,SUB-SAHARAN AFRICA,2022331,30355,66.62,0,-0.74,84.23,3000,84.8,23.73,10.87,0.13,89,3,24.75,28.71,0.163,0.443,0.394
L,1995,,1995,Liberia,LBR,Liberia,Liberia,SUB-SAHARAN AFRICA,3042004,111370,27.31,0.52,0,128.87,1000,57.5,2.27,3.95,2.28,93.77,2,44.77,23.1,0.769,0.054,0.177
UM,1995,,1995,Libya,LBY,Libya,Libya,NORTHERN AFRICA,5900754,1759540,3.35,0.1,0,24.6,6400,82.6,127.1,1.03,0.19,98.78,,26.49,3.48,0.076,0.499,0.425
LM,1995,0.325,1995,Lithuania,LTU,Lithuania,Lithuania,BALTICS,3585906,65200,55,0.14,-0.71,6.89,11400,99.6,223.4,45.22,0.91,53.87,,8.75,10.98,0.055,0.325,0.62
H,1995,0.2,1995,Luxembourg,LUX,Luxembourg,Luxembourg,WESTERN EUROPE,474413,2586,183.45,0,8.97,4.81,55100,100,515.37,23.28,0.4,76.32,,11.94,8.41,0.01,0.13,0.86
L,1995,0.719,1995,Malawi,MWI,Malawi,Malawi,SUB-SAHARAN AFRICA,13013926,118480,109.84,0,0,103.32,600,62.7,7.89,23.38,1.49,75.13,2,43.13,19.33,0.342,0.158,0.499
UM,1995,0.398,1995,Malaysia,MYS,Malaysia,Malaysia,ASIA (EX. NEAR EAST),24385858,329750,73.95,1.42,0,17.7,9000,88.7,179.04,5.48,17.61,76.91,2,22.86,5.05,0.084,0.48,0.436
LM,1995,0.649,1995,Maldives,MDV,Maldives,Maldives,ASIA (EX. NEAR EAST),359008,300,1196.69,214.67,0,56.52,3900,97.2,89.97,13.33,16.67,70,2,34.81,7.06,0.2,0.18,0.62
L,1995,0.726,1995,Mali,MLI,Mali,Mali,SUB-SAHARAN AFRICA,11716829,1240000,9.45,0,-0.33,116.79,900,46.4,6.4,3.82,0.03,96.15,2,49.82,16.89,0.45,0.17,0.38
UM,1995,0.331,1995,Malta,MLT,Malta,Malta,WESTERN EUROPE,400214,316,1266.5,62.28,2.07,3.89,17700,92.8,504.98,28.13,3.13,68.74,,10.22,8.1,0.03,0.23,0.74
L,1995,0.809,1995,Mauritania,MRT,Mauritania,Mauritania,SUB-SAHARAN AFRICA,3177388,1030700,3.08,0.07,0,70.89,1800,41.7,12.9,0.48,0.01,99.51,1,40.99,12.16,0.25,0.29,0.46
UM,1995,0.479,1995,Mauritius,MUS,Mauritius,Mauritius,SUB-SAHARAN AFRICA,1240827,2040,608.25,8.68,-0.9,15.03,11400,85.6,289.32,49.26,2.96,47.78,2,15.43,6.86,0.059,0.298,0.643
UM,1995,0.508,1995,Mexico,MEX,Mexico,Mexico,LATIN AMER. & CARIB,107449525,1972550,54.47,0.47,-4.87,20.91,9000,92.2,181.59,12.99,1.31,85.7,1.5,20.69,4.74,0.038,0.259,0.702
LM,1995,0.486,1995,Moldova,MDA,Moldova,Moldova,C.W. OF IND. STATES,4466706,33843,131.98,0,-0.26,40.42,1800,99.1,208.07,55.3,10.79,33.91,,15.7,12.64,0.213,0.233,0.555
L,1995,0.5,1995,Mongolia,MNG,Mongolia,Mongolia,ASIA (EX. NEAR EAST),2832224,1564116,1.81,0,0,53.79,1800,97.8,55.08,0.77,0,99.23,1,21.59,6.95,0.206,0.214,0.58
LM,1995,0.713,1995,Morocco,MAR,Morocco,Morocco,NORTHERN AFRICA,33241259,446550,74.44,0.41,-0.98,41.62,4000,51.7,40.35,19.61,2.17,78.22,,21.98,5.58,0.217,0.357,0.426
L,1995,0.664,1995,Mozambique,MOZ,Mozambique,Mozambique,SUB-SAHARAN AFRICA,19686505,801590,24.56,0.31,0,130.79,1200,47.8,3.54,5.1,0.3,94.6,2,35.18,21.35,0.262,0.348,0.39
LM,1995,0.555,1995,Namibia,NAM,Namibia,Namibia,SUB-SAHARAN AFRICA,2044147,825418,2.48,0.19,0,48.98,7200,84,62.57,0.99,0,99.01,1,24.32,18.86,0.097,0.315,0.588
L,1995,0.71,1995,Nepal,NPL,Nepal,Nepal,ASIA (EX. NEAR EAST),28287147,147181,192.19,0,0,66.98,1400,45.2,15.86,21.68,0.64,77.68,,30.98,9.31,0.38,0.21,0.41
H,1995,0.113,1995,Netherlands,NLD,Netherlands,Netherlands,WESTERN EUROPE,16491461,41526,397.14,1.09,2.91,5.04,28600,99,460.84,26.71,0.97,72.32,3,10.9,8.68,0.021,0.244,0.736
L,1995,0.629,1995,Nicaragua,NIC,Nicaragua,Nicaragua,LATIN AMER. & CARIB,5570129,129494,43.01,0.7,-1.22,29.11,2300,67.5,39.66,15.94,1.94,82.12,2,24.51,4.45,0.165,0.275,0.56
L,1995,0.831,1995,Niger,NER,Niger,Niger,SUB-SAHARAN AFRICA,12525094,1267000,9.89,0,-0.67,121.69,800,17.6,1.92,3.54,0.01,96.45,1,50.73,20.91,0.39,0.17,0.44
H,1995,0.122,1995,Norway,NOR,Norway,Norway,WESTERN EUROPE,4610820,323802,14.24,7.77,1.74,3.7,37800,100,461.74,2.87,0,97.13,3,11.46,9.4,0.021,0.415,0.564
UM,1995,,1995,Oman,OMN,Oman,Oman,NEAR EAST,3102229,212460,14.6,0.98,0.28,19.51,13100,75.8,85.49,0,0.14,99.74,1,36.24,3.81,0.027,0.39,0.583
L,1995,0.766,1995,Pakistan,PAK,Pakistan,Pakistan,ASIA (EX. NEAR EAST),165803560,803940,206.24,0.13,-2.77,72.44,2100,45.7,31.83,27.87,0.87,71.26,1,29.74,8.23,0.216,0.251,0.533
LM,1995,0.517,1995,Panama,PAN,Panama,Panama,LATIN AMER. & CARIB,3191319,78200,40.81,3.18,-0.91,20.47,6300,92.6,137.91,7.36,1.98,90.66,2,21.74,5.36,0.068,0.156,0.776
LM,1995,0.668,1995,Papua New Guinea,PNG,Papua New Guinea,Papua New Guinea,OCEANIA,5670544,462840,12.25,1.11,0,51.45,2200,64.6,10.93,0.46,1.44,98.1,2,29.36,7.25,0.353,0.381,0.266
LM,1995,0.575,1995,Paraguay,PRY,Paraguay,Paraguay,LATIN AMER. & CARIB,6506464,406750,16,0,-0.08,25.63,4700,94,49.23,7.6,0.23,92.17,2,29.1,4.49,0.224,0.207,0.569
LM,1995,0.547,1995,Peru,PER,Peru,Peru,LATIN AMER. & CARIB,28302603,1285220,22.02,0.19,-1.05,31.94,5100,90.9,79.52,2.89,0.4,96.71,1.5,20.48,6.23,0.08,0.27,0.65
LM,1995,0.483,1995,Philippines,PHL,Philippines,Philippines,ASIA (EX. NEAR EAST),89468677,300000,298.23,12.1,-1.5,23.51,4600,92.6,38.42,18.95,16.77,64.28,2,24.89,5.41,0.144,0.326,0.53
LM,1995,0.258,1995,Poland,POL,Poland,Poland,EASTERN EUROPE,38536869,312685,123.25,0.16,-0.49,8.51,11100,99.8,306.28,45.91,1.12,52.97,3,9.85,9.89,0.05,0.311,0.64
H,1995,0.243,1995,Portugal,PRT,Portugal,Portugal,WESTERN EUROPE,10605870,92391,114.79,1.94,3.57,5.05,18000,93.3,399.21,21.75,7.81,70.44,3,10.72,10.5,0.053,0.274,0.673
H,1995,,1995,Qatar,QAT,Qatar,Qatar,NEAR EAST,885359,11437,77.41,4.92,16.29,18.61,21500,82.5,232,1.64,0.27,98.09,1,15.56,4.72,0.002,0.801,0.197
LM,1995,0.474,1995,Romania,ROU,Romania,Romania,EASTERN EUROPE,22303552,237500,93.91,0.09,-0.13,26.43,7000,98.4,196.87,40.82,2.25,56.93,3,10.7,11.77,0.101,0.35,0.549
LM,1995,0.467,1995,Russian Federation,RUS,Russian Federation,Russian Federation,C.W. OF IND. STATES,142893540,17075200,8.37,0.22,1.02,15.39,8900,99.6,280.63,7.33,0.11,92.56,,9.95,14.65,0.054,0.371,0.575
L,1995,0.583,1995,Rwanda,RWA,Rwanda,Rwanda,SUB-SAHARAN AFRICA,8648248,26338,328.36,0,0,91.23,1300,70.4,2.66,40.54,12.16,47.3,3,40.37,16.09,0.401,0.229,0.37
LM,1995,,1995,Samoa,WSM,Samoa,Samoa,OCEANIA,176908,2944,60.09,13.69,-11.7,27.71,5600,99.7,75.18,21.2,24.38,54.42,2,16.43,6.62,0.114,0.584,0.302
UM,1995,,1995,Saudi Arabia,SAU,Saudi Arabia,Saudi Arabia,NEAR EAST,27019731,1960582,13.78,0.13,-2.71,13.24,11800,78.8,140.64,1.67,0.09,98.24,1,29.34,2.58,0.033,0.613,0.354
L,1995,0.628,1995,Senegal,SEN,Senegal,Senegal,SUB-SAHARAN AFRICA,11987121,196190,61.1,0.27,0.2,55.51,1600,40.2,22.24,12.78,0.21,87.01,2,32.78,9.42,0.172,0.209,0.619
..,1995,,1995,Serbia,SRB,Serbia,Serbia,EASTERN EUROPE,9396411,88361,106.34,0,-1.33,12.89,2200,93,285.79,33.35,3.2,63.45,,,,0.166,0.255,0.579
L,1995,,1995,Sierra Leone,SLE,Sierra Leone,Sierra Leone,SUB-SAHARAN AFRICA,6005250,71740,83.71,0.56,0,143.64,500,31.4,4,6.98,0.89,92.13,2,45.76,23.03,0.49,0.31,0.21
H,1995,0.252,1995,Singapore,SGP,Singapore,Singapore,ASIA (EX. NEAR EAST),4492150,693,6482.18,27.85,11.53,2.29,23700,92.5,411.38,1.64,0,98.36,2,9.34,4.28,0,0.339,0.661
UM,1995,0.247,1995,Slovenia,SVN,Slovenia,Slovenia,EASTERN EUROPE,2010347,20273,99.16,0.23,1.12,4.45,19000,99.7,406.1,8.6,1.49,89.91,,8.98,10.31,0.028,0.369,0.603
UM,1995,0.424,1995,South Africa,ZAF,South Africa,South Africa,SUB-SAHARAN AFRICA,44187637,1219912,36.22,0.23,-0.29,61.81,10700,86.4,107.02,12.08,0.79,87.13,1,18.2,22,0.025,0.303,0.671
H,1995,0.157,1995,Spain,ESP,Spain,Spain,WESTERN EUROPE,40397842,504782,80.03,0.98,0.99,4.42,22000,97.9,453.54,26.07,9.87,64.06,3,10.06,9.72,0.04,0.295,0.665
L,1995,0.72,1995,Sudan,SDN,Sudan,Sudan,SUB-SAHARAN AFRICA,41236378,2505810,16.46,0.03,-0.02,62.5,1900,61.1,16.25,6.83,0.18,92.99,2,34.53,8.97,0.387,0.203,0.41
LM,1995,,1995,Suriname,SUR,Suriname,Suriname,LATIN AMER. & CARIB,439117,163270,2.69,0.24,-8.81,23.57,4000,93,184.69,0.37,0.06,99.57,2,18.02,7.27,0.13,0.22,0.65
LM,1995,0.652,1995,Swaziland,SWZ,Swaziland,Swaziland,SUB-SAHARAN AFRICA,1136334,17363,65.45,0,0,69.27,4900,81.6,30.8,10.35,0.7,88.95,2.5,27.41,29.74,0.119,0.515,0.366
H,1995,0.09,1995,Sweden,SWE,Sweden,Sweden,WESTERN EUROPE,9016596,449964,20.04,0.72,1.67,2.77,26800,99,715.01,6.54,0.01,93.45,3,10.27,10.31,0.011,0.282,0.707
H,1995,0.117,1995,Switzerland,CHE,Switzerland,Switzerland,WESTERN EUROPE,7523934,41290,182.22,0,4.05,4.39,32700,99,680.89,10.42,0.61,88.97,3,9.71,8.49,0.015,0.34,0.645
LM,1995,0.569,1995,Syrian Arab Republic,SYR,Syrian Arab Republic,Syrian Arab Republic,NEAR EAST,18881361,185180,101.96,0.1,0,29.53,3300,76.9,153.75,25.22,4.43,70.35,1,27.76,4.81,0.249,0.23,0.519
L,1995,0.558,1995,Tajikistan,TJK,Tajikistan,Tajikistan,C.W. OF IND. STATES,7320815,143100,51.16,0,-2.86,110.76,1000,99.4,33.49,6.61,0.92,92.47,2,32.65,8.25,0.234,0.286,0.48
L,1995,0.652,1995,Tanzania,TZA,Tanzania,Tanzania,SUB-SAHARAN AFRICA,37445392,945087,39.62,0.15,-2.06,98.54,600,78.2,3.96,4.52,1.08,94.4,,37.71,16.39,0.432,0.172,0.396
LM,1995,0.4,1995,Thailand,THA,Thailand,Thailand,ASIA (EX. NEAR EAST),64631595,514000,125.74,0.63,0,20.48,7400,92.6,108.85,29.36,6.46,64.18,2,13.87,7.04,0.099,0.441,0.46
