%GDP expenditure on Education,Year-1,GII,Year,HDI Rank (2015),Country,F4,F6,F8,F10,F12,F14,F16,F18,Country-1,Region,Population,Area,Pop. Density,Coastline,Net migration,Infant mortality,GDP,Literacy,Phones,Arable,Crops,Other,Climate,Birthrate,Deathrate,Agriculture,Industry,Service,HDI Rank (2015)-1,Country-2,F4-1,F6-1,F8-1,F10-1,F12-1,F14-1,F16-1,F18-1
,2013,0.084,2013,22,Belgium, a,,,,,,,,Belgium,WESTERN EUROPE,10379067,30528,339.99,0.22,1.23,4.68,29100,98,462.57,23.28,0.4,76.32,3,10.38,10.27,0.01,0.24,0.749,22,Belgium,,,,,,,,
6.2,2013,0.384,2013,103,Belize, a,,,,,,,,Belize,LATIN AMER. & CARIB,287730,22966,12.53,1.68,0,25.69,4900,94.1,115.73,2.85,1.71,95.44,2,28.84,5.72,0.142,0.152,0.612,103,Belize,,,,,,,,
4.6,2013,0.615,2013,167,Benin, a,,,,,,,,Benin,SUB-SAHARAN AFRICA,7862944,112620,69.82,0.11,0,85,1100,40.9,9.7,18.08,2.4,79.52,2,38.85,12.22,0.316,0.138,0.546,167,Benin,,,,,,,,
5.6,2013,0.524,2013,132,Bhutan,,,,,,,,,Bhutan,ASIA (EX. NEAR EAST),2279723,47000,48.5,0,0,100.44,1300,42.2,14.34,3.09,0.43,96.48,2,33.65,12.7,0.258,0.379,0.363,132,Bhutan,,,,,,,,
6.3,2013,0.486,2013,118,Bolivia,,,,,,,,,Bolivia,LATIN AMER. & CARIB,8989046,1098580,8.18,0,-1.32,53.11,2400,87.2,71.9,2.67,0.19,97.14,1.5,23.3,7.53,0.128,0.352,0.52,118,Bolivia,,,,,,,,
,2013,0.465,2013,108,Botswana, a,,,,,,,,Botswana,SUB-SAHARAN AFRICA,1639833,600370,2.73,0,0,54.58,9000,79.8,80.5,0.65,0.01,99.34,1,23.08,29.5,0.024,0.469,0.507,108,Botswana,,,,,,,,
,2013,0.431,2013,79,Brazil, a,,,,,,,,Brazil,LATIN AMER. & CARIB,188078227,8511965,22.1,0.09,-0.03,29.61,7600,86.4,225.34,6.96,0.9,92.15,2,16.56,6.17,0.084,0.4,0.516,79,Brazil,,,,,,,,
,2013,0.215,2013,56,Bulgaria, a,,,,,,,,Bulgaria,EASTERN EUROPE,7385367,110910,66.59,0.32,-4.58,20.55,7600,98.6,336.27,40.02,1.92,58.06,3,9.65,14.27,0.093,0.304,0.603,56,Bulgaria,,,,,,,,
4.5,2013,0.598,2013,185,BurkinaFaso,,,,,,,,,BurkinaFaso,SUB-SAHARAN AFRICA,13902972,274200,50.7,0,0,97.57,1100,26.6,7.01,14.43,0.19,85.38,2,45.62,15.6,0.322,0.196,0.482,185,BurkinaFaso,,,,,,,,
5.4,2013,0.489,2013,184,Burundi,,,,,,,,,Burundi,SUB-SAHARAN AFRICA,8090068,27830,290.7,0,-0.06,69.29,600,51.6,3.42,35.05,14.02,50.93,2,42.22,13.46,0.463,0.203,0.334,184,Burundi,,,,,,,,
2,2013,0.485,2013,143,Cambodia, a,,,,,,,,Cambodia,ASIA (EX. NEAR EAST),13881427,181040,76.68,0.24,0,71.48,1900,69.4,2.62,20.96,0.61,78.43,2,26.9,9.06,0.35,0.3,0.35,143,Cambodia,,,,,,,,
3,2013,0.577,2013,153,Cameroon, a,,,,,,,,Cameroon,SUB-SAHARAN AFRICA,17340702,475440,36.47,0.08,0,68.26,1800,79,5.73,12.81,2.58,84.61,1.5,33.89,13.47,0.448,0.17,0.382,153,Cameroon,,,,,,,,
,2013,0.108,2013,10,Canada, a,,,,,,,,Canada,NORTHERN AMERICA,33098932,9984670,3.31,2.02,5.96,4.75,29800,97,552.16,4.96,0.02,95.02,,10.78,7.8,0.022,0.294,0.684,10,Canada,,,,,,,,
,2013,,2013,188,Central African Republic, a,,,,,,,,Central African Republic,SUB-SAHARAN AFRICA,4303356,622984,6.91,0,0,91,1100,51,2.32,3.1,0.14,96.76,2,33.91,18.65,0.55,0.2,0.25,188,Central African Republic,,,,,,,,
2.9,2013,,2013,186,Chad,,,,,,,,,Chad,SUB-SAHARAN AFRICA,9944201,1284000,7.74,0,-0.11,93.82,1200,47.5,1.31,2.86,0.02,97.12,2,45.73,16.38,0.335,0.259,0.406,186,Chad,,,,,,,,
4.6,2013,0.329,2013,38,Chile, a,,,,,,,,Chile,LATIN AMER. & CARIB,16134219,756950,21.31,0.85,0,8.8,9900,96.2,212.96,2.65,0.42,96.93,3,15.23,5.81,0.06,0.493,0.447,38,Chile,,,,,,,,
,2013,0.172,2013,90,China,,,,,,,,,China,ASIA (EX. NEAR EAST),1313973713,9596960,136.92,0.15,-0.4,24.18,5000,90.9,266.7,15.4,1.25,83.35,1.5,13.25,6.97,0.125,0.473,0.403,90,China,,,,,,,,
4.9,2013,0.423,2013,95,Colombia, a,,,,,,,,Colombia,LATIN AMER. & CARIB,43593035,1138910,38.28,0.28,-0.31,20.97,6300,92.5,176.15,2.42,1.67,95.91,2,20.48,5.58,0.125,0.342,0.533,95,Colombia,,,,,,,,
,2013,0.667,2013,176,Congo,,,,,,,,,Congo,SUB-SAHARAN AFRICA,62660551,2345410,26.72,0,0,94.69,700,65.5,0.17,2.96,0.52,96.52,2,43.69,13.27,0.55,0.11,0.34,135,Congo,,,,,,,,
,2013,0.606,2013,135,Congo,,,,,,,,,Congo,SUB-SAHARAN AFRICA,62660551,2345410,26.72,0,0,94.69,700,65.5,0.17,2.96,0.52,96.52,2,43.69,13.27,0.55,0.11,0.34,135,Congo,,,,,,,,
,2013,0.128,2013,45,Croatia, a,,,,,,,,Croatia,EASTERN EUROPE,4494749,56542,79.49,10.32,1.58,6.84,10600,98.5,420.38,26.09,2.27,71.65,,9.61,11.48,0.07,0.308,0.622,45,Croatia,,,,,,,,
,2013,0.311,2013,68,Cuba, a,,,,,,,,Cuba,LATIN AMER. & CARIB,11382820,110860,102.68,3.37,-1.58,6.33,2900,97,74.67,33.05,7.6,59.35,2,11.89,7.22,0.055,0.261,0.684,68,Cuba,,,,,,,,
,2013,0.135,2013,33,Cyprus, a,,,,,,,,Cyprus,NEAR EAST,784301,9250,84.79,7.01,0.43,7.18,19200,97.6,,7.79,4.44,87.77,3,12.56,7.68,0.037,0.198,0.765,33,Cyprus,,,,,,,,
,2013,0.135,2013,28,Czech Republic, a,,,,,,,,Czech Republic,EASTERN EUROPE,10235455,78866,129.78,0,0.97,3.93,15700,99.9,314.33,39.8,3.05,57.15,3,9.02,10.59,0.034,0.393,0.573,28,Czech Republic,,,,,,,,
,2013,0.671,2013,171,Côte d'Ivoire, a,,,,,,,,Côte d'Ivoire,SUB-SAHARAN AFRICA,17654843,322460,54.75,0.16,-0.07,90.83,1400,50.9,14.61,9.75,13.84,76.41,2,35.11,14.84,0.279,0.171,0.55,171,Côte d'Ivoire,,,,,,,,
,2013,0.044,2013,5,Denmark, a,,,,,,,,Denmark,WESTERN EUROPE,5450661,43094,126.48,16.97,2.48,4.56,31100,100,614.6,54.02,0.19,45.79,3,11.13,10.36,0.018,0.246,0.735,5,Denmark,,,,,,,,
,2013,0.483,2013,99,Dominican Republic, a,,,,,,,,Dominican Republic,LATIN AMER. & CARIB,9183984,48730,188.47,2.64,-3.22,32.38,6000,84.7,97.4,22.65,10.33,67.02,2,23.22,5.73,0.112,0.306,0.582,99,Dominican Republic,,,,,,,,
,2013,0.405,2013,89,Ecuador, a,,,,,,,,Ecuador,LATIN AMER. & CARIB,13547510,283560,47.78,0.79,-8.58,23.66,3300,92.5,125.6,5.85,4.93,89.22,2,22.29,4.23,0.07,0.312,0.618,89,Ecuador,,,,,,,,
,2013,,2013,111,Egypt, a,,,,,,,,Egypt,NORTHERN AFRICA,78887007,1001450,78.77,0.24,-0.22,32.59,4000,57.7,131.78,2.87,0.48,96.65,1,22.94,5.23,0.149,0.357,0.493,111,Egypt,,,,,,,,
,2013,0.406,2013,117,ElSalvador, a,,,,,,,,ElSalvador,LATIN AMER. & CARIB,6822378,21040,324.26,1.46,-3.74,25.1,4800,80.2,142.4,31.85,12.07,56.08,2,26.61,5.78,0.099,0.302,0.599,117,ElSalvador,,,,,,,,
,2013,0.155,2013,30,Estonia, a,,,,,,,,Estonia,BALTICS,1324333,45226,29.28,8.39,-3.16,7.87,12300,99.8,333.75,16.04,0.45,83.51,3,10.04,13.25,0.04,0.294,0.666,30,Estonia,,,,,,,,
4.5,2013,0.546,2013,174,Ethiopia,,,,,,,,,Ethiopia,SUB-SAHARAN AFRICA,74777981,1127127,66.34,0,0,95.32,700,42.7,8.16,10.71,0.75,88.54,2,37.98,14.86,0.475,0.099,0.426,174,Ethiopia,,,,,,,,
3.9,2013,,2013,91,Fiji, a,,,,,,,,Fiji,OCEANIA,905949,18270,49.59,6.18,-3.14,12.62,5800,93.7,112.59,10.95,4.65,84.4,2,22.55,5.65,0.089,0.135,0.776,91,Fiji,,,,,,,,
7.2,2013,0.064,2013,23,Finland, a,,,,,,,,Finland,WESTERN EUROPE,5231372,338145,15.47,0.37,0.95,3.57,27400,100,405.25,7.19,0.03,92.78,3,10.45,9.86,0.028,0.295,0.676,23,Finland,,,,,,,,
,2013,0.107,2013,21,France, a,,,,,,,,France,WESTERN EUROPE,60876136,547030,111.28,0.63,0.66,4.26,27600,99,586.44,33.53,2.07,64.4,4,11.99,9.14,0.022,0.214,0.764,21,France,,,,,,,,
,2013,0.549,2013,109,Gabon, a,,,,,,,,Gabon,SUB-SAHARAN AFRICA,1424906,267667,5.32,0.33,0,53.64,5500,63.2,27.44,1.26,0.66,98.08,2,36.16,12.25,0.061,0.592,0.348,109,Gabon,,,,,,,,
2.8,2013,0.654,2013,173,Gambia, a,,,,,,,,Gambia,SUB-SAHARAN AFRICA,1641564,11300,145.27,0.71,1.57,72.02,1700,40.1,26.8,25,0.5,74.5,2,39.37,12.25,0.308,0.142,0.549,173,Gambia,,,,,,,,
,2013,0.369,2013,70,Georgia, a,,,,,,,,Georgia,C.W. OF IND. STATES,4661473,69700,66.88,0.44,-4.7,18.59,2500,99,146.56,11.44,3.86,84.7,3,10.41,9.23,0.172,0.275,0.553,70,Georgia,,,,,,,,
,2013,0.077,2013,4,Germany, a,,,,,,,,Germany,WESTERN EUROPE,82422299,357021,230.86,0.67,2.18,4.16,27600,99,667.85,33.85,0.59,65.56,3,8.25,10.62,0.009,0.296,0.695,4,Germany,,,,,,,,
6,2013,0.549,2013,139,Ghana, a,,,,,,,,Ghana,SUB-SAHARAN AFRICA,22409572,239460,93.58,0.23,-0.64,51.43,2200,74.8,14.35,16.26,9.67,74.07,2,30.52,9.72,0.366,0.246,0.387,139,Ghana,,,,,,,,
,2013,0.128,2013,29,Greece, a,,,,,,,,Greece,WESTERN EUROPE,10688058,131940,81.01,10.37,2.35,5.53,20000,97.5,589.72,21.1,8.78,70.12,3,9.68,10.24,0.054,0.213,0.733,29,Greece,,,,,,,,
2.8,2013,0.522,2013,125,Guatemala, a,,,,,,,,Guatemala,LATIN AMER. & CARIB,12293545,108890,112.9,0.37,-1.67,35.93,4100,70.6,92.09,12.54,5.03,82.43,2,29.88,5.2,0.227,0.188,0.585,125,Guatemala,,,,,,,,
,2013,0.512,2013,127,Guyana,,,,,,,,,Guyana,LATIN AMER. & CARIB,767245,214970,3.57,0.21,-2.07,33.26,4000,98.8,143.5,2.44,0.15,97.41,2,18.28,8.28,0.37,0.203,0.427,127,Guyana,,,,,,,,
5.9,2013,,2013,130,Honduras,,,,,,,,,Honduras,LATIN AMER. & CARIB,7326496,112090,65.36,0.73,-1.99,29.32,2600,76.2,67.48,9.55,3.22,87.23,2,28.24,5.28,0.139,0.312,0.549,130,Honduras,,,,,,,,
,2013,0.259,2013,43,Hungary, a,,,,,,,,Hungary,EASTERN EUROPE,9981334,93030,107.29,0,0.86,8.57,13900,99.4,336.23,50.09,2.06,47.85,3,9.72,13.11,0.037,0.312,0.651,43,Hungary,,,,,,,,
,2013,0.076,2013,9,Iceland, a,,,,,,,,Iceland,WESTERN EUROPE,299388,103000,2.91,4.83,2.38,3.31,30900,99.9,647.65,0.07,0,99.93,3,13.64,6.72,0.086,0.15,0.765,9,Iceland,,,,,,,,
,2013,0.561,2013,131,India, a,,,,,,,,India,ASIA (EX. NEAR EAST),1095351995,3287590,333.18,0.21,-0.07,56.29,2900,59.5,45.42,54.4,2.74,42.86,2.5,22.01,8.18,0.186,0.276,0.538,131,India,,,,,,,,
3.4,2013,0.472,2013,113,Indonesia, a,,,,,,,,Indonesia,ASIA (EX. NEAR EAST),245452739,1919440,127.88,2.85,0,35.6,3200,87.9,52.03,11.32,7.23,81.45,2,20.34,6.25,0.134,0.458,0.408,113,Indonesia,,,,,,,,
3.2,2013,0.516,2013,69,Iran, a,,,,,,,,Iran,ASIA (EX. NEAR EAST),68688433,1648000,41.68,0.15,-0.84,41.58,7000,79.4,276.41,8.72,1.39,89.89,1,17,5.55,0.116,0.424,0.46,69,Iran,,,,,,,,
,2013,0.14,2013,8,Ireland, a,,,,,,,,Ireland,WESTERN EUROPE,4062235,70280,57.8,2.06,4.99,5.39,29600,98,500.46,15.2,0.03,84.77,3,14.45,7.82,0.05,0.46,0.49,8,Ireland,,,,,,,,
5.9,2013,0.124,2013,19,Israel, a,,,,,,,,Israel,NEAR EAST,6352117,20770,305.83,1.31,0.68,7.03,19800,95.4,462.26,16.39,4.17,79.44,3,17.97,6.18,0.026,0.317,0.657,19,Israel,,,,,,,,
,2013,0.09,2013,26,Italy, a,,,,,,,,Italy,WESTERN EUROPE,58133509,301230,192.99,2.52,2.07,5.94,26700,98.6,430.89,27.79,9.53,62.68,,8.72,10.4,0.021,0.291,0.688,26,Italy,,,,,,,,
6.3,2013,0.435,2013,94,Jamaica, a,,,,,,,,Jamaica,LATIN AMER. & CARIB,2758124,10991,250.94,9.3,-4.92,12.36,3900,87.9,124,16.07,10.16,73.77,2,20.82,6.52,0.049,0.337,0.615,94,Jamaica,,,,,,,,
3.8,2013,0.127,2013,17,Japan, a,,,,,,,,Japan,ASIA (EX. NEAR EAST),127463611,377835,337.35,7.87,0,3.26,28200,99,461.15,12.19,0.96,86.85,3,9.37,9.16,0.017,0.258,0.725,17,Japan,,,,,,,,
,2013,0.215,2013,56,Kazakhstan, a,,,,,,,,Kazakhstan,C.W. OF IND. STATES,15233244,2717300,5.61,0,-3.35,29.21,6300,98.4,164.11,7.98,0.05,91.97,4,16,9.42,0.067,0.386,0.547,56,Kazakhstan,,,,,,,,
,2013,0.573,2013,146,Kenya, a,,,,,,,,Kenya,SUB-SAHARAN AFRICA,34707817,582650,59.57,0.09,-0.1,61.47,1000,85.1,8.12,8.08,0.98,90.94,1.5,39.72,14.02,0.163,0.188,0.651,146,Kenya,,,,,,,,
,2013,0.076,2013,18,Korea, a,,,,,,,,Korea,ASIA (EX. NEAR EAST),48846823,98480,496.01,2.45,0,7.05,17800,97.9,486.11,17.18,1.95,80.87,3,10,5.85,0.033,0.403,0.563,18,Korea,,,,,,,,
,2013,0.243,2013,51,Kuwait, a,,,,,,,,Kuwait,NEAR EAST,2418393,17820,135.71,2.8,14.18,9.95,19000,83.5,211.01,0.73,0.11,99.16,1,21.94,2.41,0.004,0.479,0.516,51,Kuwait,,,,,,,,
6.8,2013,0.378,2013,120,Kyrgyzstan, a,,,,,,,,Kyrgyzstan,C.W. OF IND. STATES,5213898,198500,26.27,0,-2.45,35.64,1600,97,84.04,7.3,0.35,92.35,2.5,22.8,7.08,0.353,0.208,0.439,120,Kyrgyzstan,,,,,,,,
,2013,0.484,2013,138,Lao People's Democratic Republic,,,,,,,,,Lao People's Democratic Republic,ASIA (EX. NEAR EAST),6368481,236800,26.89,0,0,85.22,1700,66.4,14.14,3.8,0.35,95.85,2,35.49,11.55,0.455,0.287,0.258,138,Lao People's Democratic Republic,,,,,,,,
4.9,2013,0.184,2013,44,Latvia, a,,,,,,,,Latvia,BALTICS,2274735,64589,35.22,0.82,-2.23,9.55,10200,99.8,321.36,29.67,0.47,69.86,3,9.24,13.66,0.04,0.261,0.699,44,Latvia,,,,,,,,
2.6,2013,0.387,2013,76,Lebanon,,,,,,,,,Lebanon,NEAR EAST,3874050,10400,372.5,2.16,0,24.52,4800,87.4,255.55,16.62,13.98,69.4,,18.52,6.21,0.12,0.21,0.67,76,Lebanon,,,,,,,,
,2013,0.553,2013,160,Lesotho, a,,,,,,,,Lesotho,SUB-SAHARAN AFRICA,2022331,30355,66.62,0,-0.74,84.23,3000,84.8,23.73,10.87,0.13,89,3,24.75,28.71,0.163,0.443,0.394,160,Lesotho,,,,,,,,
,2013,0.654,2013,177,Liberia,,,,,,,,,Liberia,SUB-SAHARAN AFRICA,3042004,111370,27.31,0.52,0,128.87,1000,57.5,2.27,3.95,2.28,93.77,2,44.77,23.1,0.769,0.054,0.177,177,Liberia,,,,,,,,
,2013,0.135,2013,37,Lithuania, a,,,,,,,,Lithuania,BALTICS,3585906,65200,55,0.14,-0.71,6.89,11400,99.6,223.4,45.22,0.91,53.87,,8.75,10.98,0.055,0.325,0.62,37,Lithuania,,,,,,,,
,2013,0.088,2013,20,Luxembourg, a,,,,,,,,Luxembourg,WESTERN EUROPE,474413,2586,183.45,0,8.97,4.81,55100,100,515.37,23.28,0.4,76.32,,11.94,8.41,0.01,0.13,0.86,20,Luxembourg,,,,,,,,
7.7,2013,0.605,2013,170,Malawi, a,,,,,,,,Malawi,SUB-SAHARAN AFRICA,13013926,118480,109.84,0,0,103.32,600,62.7,7.89,23.38,1.49,75.13,2,43.13,19.33,0.342,0.158,0.499,170,Malawi,,,,,,,,
6.1,2013,0.293,2013,59,Malaysia, a,,,,,,,,Malaysia,ASIA (EX. NEAR EAST),24385858,329750,73.95,1.42,0,17.7,9000,88.7,179.04,5.48,17.61,76.91,2,22.86,5.05,0.084,0.48,0.436,59,Malaysia,,,,,,,,
,2013,0.335,2013,105,Maldives, a,,,,,,,,Maldives,ASIA (EX. NEAR EAST),359008,300,1196.69,214.67,0,56.52,3900,97.2,89.97,13.33,16.67,70,2,34.81,7.06,0.2,0.18,0.62,105,Maldives,,,,,,,,
4,2013,,2013,175,Mali, a,,,,,,,,Mali,SUB-SAHARAN AFRICA,11716829,1240000,9.45,0,-0.33,116.79,900,46.4,6.4,3.82,0.03,96.15,2,49.82,16.89,0.45,0.17,0.38,175,Mali,,,,,,,,
,2013,0.216,2013,33,Malta, a,,,,,,,,Malta,WESTERN EUROPE,400214,316,1266.5,62.28,2.07,3.89,17700,92.8,504.98,28.13,3.13,68.74,,10.22,8.1,0.03,0.23,0.74,33,Malta,,,,,,,,
3.3,2013,,2013,157,Mauritania, a,,,,,,,,Mauritania,SUB-SAHARAN AFRICA,3177388,1030700,3.08,0.07,0,70.89,1800,41.7,12.9,0.48,0.01,99.51,1,40.99,12.16,0.25,0.29,0.46,157,Mauritania,,,,,,,,
3.7,2013,0.361,2013,64,Mauritius, a,,,,,,,,Mauritius,SUB-SAHARAN AFRICA,1240827,2040,608.25,8.68,-0.9,15.03,11400,85.6,289.32,49.26,2.96,47.78,2,15.43,6.86,0.059,0.298,0.643,64,Mauritius,,,,,,,,
,2013,0.364,2013,77,Mexico, a,,,,,,,,Mexico,LATIN AMER. & CARIB,107449525,1972550,54.47,0.47,-4.87,20.91,9000,92.2,181.59,12.99,1.31,85.7,1.5,20.69,4.74,0.038,0.259,0.702,77,Mexico,,,,,,,,
,2013,0.247,2013,107,Moldova, a,,,,,,,,Moldova,C.W. OF IND. STATES,4466706,33843,131.98,0,-0.26,40.42,1800,99.1,208.07,55.3,10.79,33.91,,15.7,12.64,0.213,0.233,0.555,107,Moldova,,,,,,,,
,2013,0.292,2013,92,Mongolia, a,,,,,,,,Mongolia,ASIA (EX. NEAR EAST),2832224,1564116,1.81,0,0,53.79,1800,97.8,55.08,0.77,0,99.23,1,21.59,6.95,0.206,0.214,0.58,92,Mongolia,,,,,,,,
,2013,0.522,2013,123,Morocco, a,,,,,,,,Morocco,NORTHERN AFRICA,33241259,446550,74.44,0.41,-0.98,41.62,4000,51.7,40.35,19.61,2.17,78.22,,21.98,5.58,0.217,0.357,0.426,123,Morocco,,,,,,,,
6.5,2013,0.587,2013,181,Mozambique, a,,,,,,,,Mozambique,SUB-SAHARAN AFRICA,19686505,801590,24.56,0.31,0,130.79,1200,47.8,3.54,5.1,0.3,94.6,2,35.18,21.35,0.262,0.348,0.39,181,Mozambique,,,,,,,,
,2013,0.501,2013,125,Namibia, a,,,,,,,,Namibia,SUB-SAHARAN AFRICA,2044147,825418,2.48,0.19,0,48.98,7200,84,62.57,0.99,0,99.01,1,24.32,18.86,0.097,0.315,0.588,125,Namibia,,,,,,,,
4.1,2013,,2013,144,Nepal, a,,,,,,,,Nepal,ASIA (EX. NEAR EAST),28287147,147181,192.19,0,0,66.98,1400,45.2,15.86,21.68,0.64,77.68,,30.98,9.31,0.38,0.21,0.41,144,Nepal,,,,,,,,
5.6,2013,0.047,2013,7,Netherlands, a,,,,,,,,Netherlands,WESTERN EUROPE,16491461,41526,397.14,1.09,2.91,5.04,28600,99,460.84,26.71,0.97,72.32,3,10.9,8.68,0.021,0.244,0.736,7,Netherlands,,,,,,,,
,2013,0.171,2013,13,NewZealand, a,,,,,,,,NewZealand,OCEANIA,4076140,268680,15.17,5.63,4.05,5.85,21600,99,441.72,5.6,6.99,87.41,3,13.76,7.53,0.043,0.273,0.684,13,NewZealand,,,,,,,,
,2013,0.474,2013,124,Nicaragua, a,,,,,,,,Nicaragua,LATIN AMER. & CARIB,5570129,129494,43.01,0.7,-1.22,29.11,2300,67.5,39.66,15.94,1.94,82.12,2,24.51,4.45,0.165,0.275,0.56,124,Nicaragua,,,,,,,,
4.9,2013,0.702,2013,187,Niger, a,,,,,,,,Niger,SUB-SAHARAN AFRICA,12525094,1267000,9.89,0,-0.67,121.69,800,17.6,1.92,3.54,0.01,96.45,1,50.73,20.91,0.39,0.17,0.44,187,Niger,,,,,,,,
,2013,0.062,2013,1,Norway, a,,,,,,,,Norway,WESTERN EUROPE,4610820,323802,14.24,7.77,1.74,3.7,37800,100,461.74,2.87,0,97.13,3,11.46,9.4,0.021,0.415,0.564,1,Norway,,,,,,,,
5,2013,0.294,2013,52,Oman,,,,,,,,,Oman,NEAR EAST,3102229,212460,14.6,0.98,0.28,19.51,13100,75.8,85.49,0,0.14,99.74,1,36.24,3.81,0.027,0.39,0.583,52,Oman,,,,,,,,
2.5,2013,0.555,2013,147,Pakistan, a,,,,,,,,Pakistan,ASIA (EX. NEAR EAST),165803560,803940,206.24,0.13,-2.77,72.44,2100,45.7,31.83,27.87,0.87,71.26,1,29.74,8.23,0.216,0.251,0.533,147,Pakistan,,,,,,,,
,2013,0.507,2013,60,Panama, a,,,,,,,,Panama,LATIN AMER. & CARIB,3191319,78200,40.81,3.18,-0.91,20.47,6300,92.6,137.91,7.36,1.98,90.66,2,21.74,5.36,0.068,0.156,0.776,60,Panama,,,,,,,,
,2013,0.469,2013,110,Paraguay, a,,,,,,,,Paraguay,LATIN AMER. & CARIB,6506464,406750,16,0,-0.08,25.63,4700,94,49.23,7.6,0.23,92.17,2,29.1,4.49,0.224,0.207,0.569,110,Paraguay,,,,,,,,
3.3,2013,0.394,2013,87,Peru, a,,,,,,,,Peru,LATIN AMER. & CARIB,28302603,1285220,22.02,0.19,-1.05,31.94,5100,90.9,79.52,2.89,0.4,96.71,1.5,20.48,6.23,0.08,0.27,0.65,87,Peru,,,,,,,,
3.4,2013,0.437,2013,116,Philippines, a,,,,,,,,Philippines,ASIA (EX. NEAR EAST),89468677,300000,298.23,12.1,-1.5,23.51,4600,92.6,38.42,18.95,16.77,64.28,2,24.89,5.41,0.144,0.326,0.53,116,Philippines,,,,,,,,
,2013,0.15,2013,36,Poland, a,,,,,,,,Poland,EASTERN EUROPE,38536869,312685,123.25,0.16,-0.49,8.51,11100,99.8,306.28,45.91,1.12,52.97,3,9.85,9.89,0.05,0.311,0.64,36,Poland,,,,,,,,
,2013,0.11,2013,41,Portugal, a,,,,,,,,Portugal,WESTERN EUROPE,10605870,92391,114.79,1.94,3.57,5.05,18000,93.3,399.21,21.75,7.81,70.44,3,10.72,10.5,0.053,0.274,0.673,41,Portugal,,,,,,,,
4,2013,0.552,2013,33,Qatar,,,,,,,,,Qatar,NEAR EAST,885359,11437,77.41,4.92,16.29,18.61,21500,82.5,232,1.64,0.27,98.09,1,15.56,4.72,0.002,0.801,0.197,33,Qatar,,,,,,,,
,2013,0.344,2013,50,Romania, a,,,,,,,,Romania,EASTERN EUROPE,22303552,237500,93.91,0.09,-0.13,26.43,7000,98.4,196.87,40.82,2.25,56.93,3,10.7,11.77,0.101,0.35,0.549,50,Romania,,,,,,,,
5,2013,0.405,2013,159,Rwanda, a,,,,,,,,Rwanda,SUB-SAHARAN AFRICA,8648248,26338,328.36,0,0,91.23,1300,70.4,2.66,40.54,12.16,47.3,3,40.37,16.09,0.401,0.229,0.37,159,Rwanda,,,,,,,,
4.7,2013,0.37,2013,92,SaintLucia,,,,,,,,,SaintLucia,LATIN AMER. & CARIB,168458,616,273.47,25.65,-2.67,13.53,5400,67,303.34,6.56,22.95,70.49,2,19.68,5.08,0.07,0.2,0.73,92,SaintLucia,,,,,,,,
,2013,0.478,2013,104,Samoa,,,,,,,,,Samoa,OCEANIA,176908,2944,60.09,13.69,-11.7,27.71,5600,99.7,75.18,21.2,24.38,54.42,2,16.43,6.62,0.114,0.584,0.302,104,Samoa,,,,,,,,
5.9,2013,0.529,2013,142,Sao Tome and Principe,,,,,,,,,Sao Tome and Principe,SUB-SAHARAN AFRICA,193413,1001,193.22,20.88,-2.72,43.11,1200,79.3,36.19,6.25,48.96,44.79,2,40.25,6.47,0.167,0.148,0.684,142,Sao Tome and Principe,,,,,,,,
,2013,0.267,2013,38,Saudi Arabia,,,,,,,,,Saudi Arabia,NEAR EAST,27019731,1960582,13.78,0.13,-2.71,13.24,11800,78.8,140.64,1.67,0.09,98.24,1,29.34,2.58,0.033,0.613,0.354,38,Saudi Arabia,,,,,,,,
,2013,0.532,2013,162,Senegal, a,,,,,,,,Senegal,SUB-SAHARAN AFRICA,11987121,196190,61.1,0.27,0.2,55.51,1600,40.2,22.24,12.78,0.21,87.01,2,32.78,9.42,0.172,0.209,0.619,162,Senegal,,,,,,,,
,2013,0.19,2013,66,Serbia,,,,,,,,,Serbia,EASTERN EUROPE,9396411,88361,106.34,0,-1.33,12.89,2200,93,285.79,33.35,3.2,63.45,,,,0.166,0.255,0.579,66,Serbia,,,,,,,,
2.4,2013,0.656,2013,179,Sierra Leone,,,,,,,,,Sierra Leone,SUB-SAHARAN AFRICA,6005250,71740,83.71,0.56,0,143.64,500,31.4,4,6.98,0.89,92.13,2,45.76,23.03,0.49,0.31,0.21,179,Sierra Leone,,,,,,,,
2.9,2013,0.082,2013,5,Singapore, a,,,,,,,,Singapore,ASIA (EX. NEAR EAST),4492150,693,6482.18,27.85,11.53,2.29,23700,92.5,411.38,1.64,0,98.36,2,9.34,4.28,0,0.339,0.661,5,Singapore,,,,,,,,
4.1,2013,0.18,2013,40,Slovakia, a,,,,,,,,Slovakia,EASTERN EUROPE,5439448,48845,111.36,0,0.3,7.41,13300,,220.06,30.16,2.62,67.22,3,10.65,9.45,0.035,0.294,0.672,40,Slovakia,,,,,,,,
,2013,0.064,2013,25,Slovenia, a,,,,,,,,Slovenia,EASTERN EUROPE,2010347,20273,99.16,0.23,1.12,4.45,19000,99.7,406.1,8.6,1.49,89.91,,8.98,10.31,0.028,0.369,0.603,25,Slovenia,,,,,,,,
